 Voornaam,Naam,Achternaam,,Username,Intern,E-mailadres,Mobiel,Adres,Postcode,Netnr,Telnr,Plaats,Bedrijfsonderdeel,Afdeling,Functie,Geboorteplaats,Geboorteland,Geboortedatum,Passwords,ou
Aalt,Top,van den Top,van den,atop,158,aalttop@amerijck.net,0633206995,Tallinnhof 29,2548 TW   ,070,3541020,Den Haag,Famous Frog Logistics,Bedrijfsburo,Logistiek supervisor,,nl,,AMrck1,"OU=Personeel,DC=Amerijck,DC=local"
Abdullah,Bayar, Bayar,,abayar,133,abdullahbayar@amerijck.net,0624531856,Hennahof 57 ,1339 EE   ,036,5314690,Almere,Holland House Resort,Marketing & Communicatie,Commercieel medewerker binnendienst,,Marokko,,AMrck2,"OU=Personeel,DC=Amerijck,DC=local"
Ad,Bakker, Bakker,,abakker,106,adbakker@amerijck.net,0621244160,Jan Romeinstraat 13,2552 KA   ,070,3474215,Den Haag,Famous Frog Logistics,Managementteam,Vestigingsmanager,haarlem,nl,,AMrck3,"OU=Personeel,DC=Amerijck,DC=local"
Ada,Kok, Kok,,akok,109,adakok@amerijck.net,0691234588,Maliebaan 18 ,1097 HS   ,020,4689931,Amsterdam,Hoofdkantoor,Administratie,Salarisadministrateur,Barneveld,nl,,AMrck4,"OU=Personeel,DC=Amerijck,DC=local"
Aidan,McDonald, McDonald,,amcdonald,111,aidanmcdonald@amerijck.net,0651625241,Paulus Emtinckweg 21 ,1111 BT   ,020,6992580,Amsterdam,BIT Bank en Verzekeringen,Externe organisaties,Commercieel medewerker bank en verzekeringen,Edinburgh,United Kingdom,3/29/1982,AMrck5,"OU=Personeel,DC=Amerijck,DC=local"
Amber,Sopamena, Sopamena,,asopamena,166,ambersopamena@amerijck.net,0624814152,Larixstraat 17,2565 HD   ,070,3644758,Den Haag,Flying Dutchman Activities,Managementondersteuning,Secretaresse,Jakarta,Indonesië,2/28/1974,AMrck6,"OU=Personeel,DC=Amerijck,DC=local"
Anita,Land,van 't Land,van 't,aland,103,anitaland@amerijck.net,0641466422, Tilanusstraat 28 ,1091 BK   ,020,4117516,Amsterdam,Hoofdkantoor,Administratie,Her,,nl,,AMrck7,"OU=Personeel,DC=Amerijck,DC=local"
Asia,Lak, Lak,,alak,179,asialak@amerijck.net,0683253802,Nes 48,1741 NJ,0224,292944,Schagen,Holland House Resort,Beheer,Bedrijfsadministratief medewerker,Posnan,Polen,1/17/1968,AMrck8,"OU=Personeel,DC=Amerijck,DC=local"
Ayden,Beylik, Beylik,,abeylik,136,aydenbeylik@amerijck.net,0614686367,Paradijsvogelweg 1 ,1349 CA   ,036,5351541,Almere,Holland House Resort,Marketing & Communicatie,Exportmedewerker buitendienst,,Turkije,,AMrck9,"OU=Personeel,DC=Amerijck,DC=local"
Aydin,Azziz, Azziz,,aazziz,121,aydinazziz@amerijck.net,0645626135,Volkerakpad 16 ,1316 LT   ,036,5313685,Almere,Black Tulip Retail,Kiosk,Eerste verkoper,Casablanca,Marokko,,AMrck10,"OU=Personeel,DC=Amerijck,DC=local"
